,ARE,NDAQ,BR,S&P500,AAPL,FITB,GS,CFG,MS,LNC,PRU,AMT,CCI,SBAC,EQIX,UA,UAA,APA,HES,COP,CVX,HAL,XOM,PAYX,INTU,BLK,SIVB,TER,ESS,UDR,AVB,SYK,CPT,EOG,LYB,DOW,DD,NDSN,ACN,DVN,CTRA,MRO,SLB,MDLZ,HRL,CAG,KO,SJM,GIS,APH,KLAC,CBRE,QCOM,TXT,INTC,AVGO,ZBRA,APTV,AMAT,MU,SBUX,CDAY,PH,HIG,CMA,KEY,HBAN,KHC,MKC,PEP,IPG,MTB,RF,PNC,MAR,HLT,UNP,NSC,CSX,LOW,HD,PNR,DOV,FBHS,ALLE,MGM,CMG,ANET,NVDA,ENPH,SEDG,FANG,MPC,MLM,ADI,ADBE,KEYS,POOL,DHI,LEN,PHM,BRK-B,L,CNP,AJG,OTIS,TXN,NXPI,RL,NKE,MCHP,GOOGL,GOOG,FDX,JBHT,ORLY,AAP,AZO,PSX,PXD,PVH,SBNY,WFC,AMP,FTV,XYL,PEAK,VNO,FOXA,FOX,SYF,COF,ZTS,NOW,ANSS,OMC,PLD,REG,FRT,CDNS,SNPS,DXC,ORCL,GWW,FAST,NVR,TFC,RJF,AMZN,AAL,DAL,UAL,NCLH,IEX,ECL,MET,BAC,BK,STT,NWS,NWSA,LRCX,JPM,FFIV,RHI,BF-B,CCL,ALK,AMD,BSX,MDT,AEP,AEE,LVS,WYNN,TGT,CPB,MCK,CI,MPWR,PYPL,CPRT,NFLX,CARR,TT,ZBH,ABT,BRO,CTAS,UNH,MAA,EQR,V,MA,FIS,ETR,D,DIS,MMC,AON,CINF,WY,KIM,COST,ULTA,TSCO,WAT,WDC,WRB,EMN,SNA,PCAR,SWKS,QRVO,APD,EMR,RCL,ABMD,LUV,ADSK,DLTR,DG,GL,CDW,ADP,CME,CBOE,TYL,DLR,IVZ,FDS,AXP,ISRG,GRMN,HWM,EW,VMC,GM,F,PG,KMB,FISV,PAYC,IQV,YUM,DHR,CMI,ATO,LNT,BWA,HPQ,HPE,EBAY,CTSH,FB,PTC,AES,CF,MOS,TECH,MTD,A,PFG,AIG,CAT,LKQ,PWR,LIN,CRM,VLO,ETSY
0,PLD,ZTS,NDAQ,AAPL,CDW,MTB,JPM,HBAN,KEY,PH,GL,DLR,DLR,EQIX,SBAC,UAA,UA,COP,EOG,APA,SLB,SLB,HAL,ADP,NOW,AES,SBNY,MU,CPT,EQR,ESS,ABT,ESS,HES,DOW,LYB,APD,ORCL,ORCL,CTRA,DVN,SLB,HAL,SJM,KHC,KHC,MKC,MDLZ,SJM,CRM,DXC,KIM,TXT,QCOM,AVGO,TXN,PVH,KEYS,DXC,LRCX,PAYC,PAYC,APD,BAC,RF,MTB,MTB,CAG,KO,BF-B,OMC,PNC,PNC,RF,HLT,MAR,CSX,CSX,UNP,HD,FBHS,ALLE,PNR,ALLE,PNR,CMG,MGM,MGM,MU,SEDG,ENPH,MPC,FANG,VMC,NXPI,MCHP,APTV,LEN,NVR,NVR,NVR,BRO,WRB,L,MMC,APH,MCHP,ADBE,GRMN,GRMN,ADBE,GOOG,GOOGL,JBHT,FDX,AAP,AZO,AAP,VLO,EOG,ZBRA,SIVB,BAC,LIN,XYL,FTV,VNO,PEAK,FOX,FOXA,COF,SYF,FDS,TYL,PYPL,IPG,ARE,FRT,REG,SNPS,CDNS,AMAT,AAPL,ETSY,GWW,LEN,RF,AMZN,AJG,UAL,UAL,DAL,CCL,PNR,IEX,JPM,MET,STT,BK,NWSA,NWS,MU,MET,RHI,FFIV,PEP,NCLH,UAL,MU,MDT,BSX,AEE,AEP,WYNN,LVS,HRL,SJM,CI,MCK,BWA,ADSK,PYPL,CPRT,TT,CARR,AES,AES,MMC,UNH,CTAS,ESS,ESS,MA,V,FISV,D,ETR,SIVB,AON,CINF,AON,VMC,FRT,TSCO,COST,COST,WDC,WAT,EMN,WRB,CMI,CMI,QRVO,SWKS,PH,AAPL,ALK,ISRG,ALK,PYPL,DG,DLTR,EMN,AAPL,PAYX,CBOE,CME,PYPL,AMT,CFG,ZTS,HWM,EW,NKE,AAL,ISRG,MLM,F,GM,BF-B,MDLZ,FIS,SBUX,YUM,IQV,YUM,SNA,LNT,ATO,MPWR,HPE,HPQ,CTSH,EBAY,PTC,FB,ABT,MOS,CF,PWR,A,MTD,AMP,CAT,AIG,AMAT,TECH,CRM,APH,PSX,GWW
1,UDR,FDS,ZTS,CDW,ORCL,RF,KEY,IPG,JPM,PRU,MET,CCI,AMT,CCI,CCI,JBHT,JBHT,SLB,APA,XOM,HAL,XOM,COP,AAPL,BR,SBNY,DIS,ADI,AVB,CPT,CPT,MDT,AVB,PXD,APD,APD,DOW,APD,AAPL,FANG,FANG,HAL,MRO,HRL,CAG,SJM,SJM,KO,KHC,OTIS,BWA,FRT,TXN,TXN,TXN,MCHP,RL,WYNN,LRCX,AMAT,CDAY,SBUX,DD,JPM,PNC,PNC,IPG,HRL,PEP,MKC,HBAN,RF,CMA,MTB,RHI,F,NSC,UNP,NSC,ALLE,FAST,FBHS,ALLE,PNR,FBHS,ANET,ANET,CMG,AMAT,AIG,HPQ,CTRA,DVN,WY,ADBE,NXPI,NXPI,DHI,LEN,PHM,LEN,L,EMN,SYK,BRO,CRM,AVGO,MCHP,NKE,RL,NXPI,TER,TER,ETR,UAA,AZO,ORLY,ORLY,XOM,HES,RL,DIS,MET,PFG,MS,MS,DG,LNT,TT,TT,WAT,WAT,NDAQ,PYPL,CPRT,HBAN,UDR,KIM,KIM,SYF,SYF,MPWR,CDW,FAST,ETSY,PHM,PNC,S&P500,RJF,ALK,ALK,ALK,UAL,ALLE,PNR,BAC,HIG,PHM,PHM,GM,F,AMAT,BAC,AIG,WAT,KO,ALK,LUV,AMAT,ZBH,ABT,CARR,CARR,APTV,APTV,MDLZ,GIS,LNT,SWKS,DXC,TYL,TYL,TYL,CBOE,FOXA,ABT,SYK,AON,AAPL,BRO,CPT,CPT,FIS,FIS,MA,CAT,CAT,SBNY,CINF,MMC,MMC,KIM,REG,ULTA,TSCO,ULTA,RHI,RHI,L,L,PCAR,SNA,CI,PEAK,DD,CDW,UAL,EW,UAL,TYL,A,CARR,WRB,ORCL,EMR,COF,CARR,ADSK,CCI,AMD,NDAQ,BRK-B,ABMD,RL,LUV,ABMD,WY,NWS,HLT,MKC,SJM,MA,CDAY,DHR,DHR,IQV,PCAR,WAT,VNO,KLAC,SEDG,CDNS,NWS,ETR,CBOE,CBOE,ZBH,AIG,COF,DHR,EBAY,WAT,HBAN,CF,D,AMD,DHR,AMP,LIN,MPC,FAST
2,MAA,BR,FDS,EMR,PAYX,KEY,PH,MTB,PFG,AMP,WFC,SBAC,SBAC,AMT,AMT,AAP,DLTR,HES,PXD,MRO,MRO,MRO,SLB,CDW,ANSS,ZBH,KEY,TXN,EQR,AVB,MAA,CNP,EQR,COP,DD,DD,PH,AAPL,CDW,MPC,MPC,COP,CVX,KHC,SJM,HRL,KHC,GIS,KO,LIN,AMAT,APH,CRM,CRM,AMZN,NXPI,GRMN,DXC,MU,NXPI,ANSS,TYL,WFC,MET,MTB,RF,CFG,GIS,KHC,KO,KEY,CMA,TFC,CMA,QRVO,GM,CARR,MTD,WDC,PNR,ALLE,DOV,FBHS,HD,HD,NVDA,NVDA,NVDA,ANET,HPQ,CARR,DVN,VLO,BR,TXN,ADI,AMAT,NVR,PHM,DHI,DHI,AXP,CNP,WRB,AMZN,AMZN,NXPI,ADI,ZBRA,ZBRA,TXN,AVGO,INTC,D,MOS,TT,TT,TT,SLB,COP,GRMN,HBAN,JPM,LNC,PFG,PFG,PTC,AEP,CARR,CARR,CDNS,CME,BR,ADSK,ADSK,KEY,MAA,WY,WY,COF,COF,KLAC,ACN,FBHS,HD,DHI,MTB,APH,INTC,DAL,LUV,LUV,ALK,FBHS,ALLE,GL,WFC,NVR,NVR,F,GM,NXPI,HIG,ULTA,WDC,MKC,UAL,DAL,LKQ,SYK,ZBH,TT,CME,ZBRA,ZBRA,KHC,KO,ATO,CSX,KLAC,CPRT,ADSK,PYPL,AEP,FOX,MDT,ZBH,BRK-B,BRO,AAPL,AVB,UDR,FISV,FISV,V,JBHT,ATO,KEY,BRO,BRO,BRO,MLM,WY,WDC,WDC,WDC,A,ATO,GL,GL,MTD,A,CTSH,VNO,DOW,PAYX,CCL,RCL,DAL,CPRT,UAA,TT,MET,PAYX,AAPL,PTC,PTC,CPRT,SBAC,KEYS,ARE,AAL,NCLH,ZBRA,ALK,NCLH,BR,HLT,NWSA,KO,CAG,V,ANSS,TECH,TECH,TECH,A,WDC,MCK,NXPI,HLT,ENPH,MTD,SWKS,CME,CME,MDT,COF,JBHT,IQV,DLTR,DLTR,MS,ENPH,ETR,MU,YUM,APH,QCOM,FANG,FBHS
3,ESS,ARE,ACN,RJF,EMR,PNC,MS,IVZ,HBAN,WFC,AXP,EQIX,EQIX,DLR,DLR,DLTR,FDX,HAL,COP,HAL,XOM,COP,MRO,EMR,NDAQ,ABT,HBAN,NXPI,MAA,ESS,UDR,ARE,MAA,APA,PH,PH,JPM,CDW,BR,MRO,MRO,XOM,APA,CAG,MDLZ,KO,GIS,CAG,HRL,QCOM,MPWR,CRM,MCHP,APH,GOOGL,MU,NKE,ZBRA,NVDA,NVDA,TYL,ANSS,LNC,WFC,TFC,TFC,PFG,SJM,BF-B,PG,CFG,TFC,MTB,TFC,HPQ,HPQ,AEE,SWKS,CI,FAST,LOW,HD,HD,FAST,DOV,MU,MU,MU,LRCX,HPE,HPE,VLO,CTRA,KIM,MCHP,TXN,ADI,PHM,POOL,POOL,BK,WRB,GL,ABT,AON,AAPL,ADBE,TXN,PVH,PVH,ADI,INTC,AVGO,AEP,ETR,A,CARR,CARR,COP,APA,NKE,BLK,GL,EMR,JPM,JPM,QRVO,ATO,WDC,SYF,WDC,CDNS,ARE,ANSS,TYL,WFC,CPT,CBRE,CBRE,HPE,MA,TECH,NDSN,ALLE,FBHS,POOL,CMA,OTIS,OTIS,LUV,NCLH,NCLH,DAL,ECL,DOV,WFC,JPM,LEN,LEN,EBAY,EBAY,NVDA,WFC,DG,MAR,PG,DAL,NCLH,NVDA,ABT,SYK,VNO,MCK,TECH,TECH,SJM,KHC,D,AEE,NFLX,ANSS,ANSS,ADSK,DG,DG,BSX,MDT,AJG,CDW,ORCL,UDR,AVB,DLTR,SNPS,MAR,CTSH,LNT,RCL,AJG,AJG,AJG,FRT,CBRE,A,A,WAT,ATO,SYF,CNP,BAC,A,LNT,F,CTSH,NDSN,ADP,NCLH,NCLH,AAL,ANSS,CARR,PEAK,BAC,EMR,CDW,CARR,FB,ANSS,EQIX,HBAN,BR,PRU,CCL,PVH,DAL,CCL,KIM,NWSA,NWS,PEP,KHC,HLT,TYL,PWR,PWR,PWR,DG,F,CF,AMAT,ENPH,CME,CDNS,MTD,PEAK,PEAK,SYK,LNT,AIG,YUM,SNA,ORLY,LIN,MOS,WAT,LRCX,IQV,PFG,OTIS,XOM,ALLE
4,CPT,PLD,INTU,PAYX,ACN,CMA,BAC,WFC,FTV,MET,LNC,CI,COF,NWS,CARR,FDX,AAP,EOG,MRO,SLB,COP,CVX,CVX,ORCL,TYL,MDT,JPM,MCHP,UDR,MAA,EQR,BSX,UDR,MRO,NDSN,NDSN,BAC,ACN,NDAQ,XOM,COP,CVX,XOM,KO,GIS,GIS,CAG,KHC,CAG,TXT,MU,REG,APH,ADI,TER,TER,APTV,CDAY,AMD,AMD,CPRT,DXC,GS,GL,KEY,CMA,KEY,KO,GIS,KHC,FITB,KEY,KEY,KEY,FIS,FIS,AEP,HPQ,FOX,DHI,PNR,IEX,IEX,GWW,FAST,AMAT,AMAT,AMAT,KLAC,CARR,HRL,XOM,PSX,NOW,TER,MU,NVDA,HD,FAST,FAST,FAST,GL,BRK-B,EMN,OTIS,CDW,ADI,MU,LRCX,LRCX,AVGO,TXN,ADBE,SNA,UA,RHI,UA,SYF,MPC,MRO,APTV,KEY,HIG,MS,HBAN,HBAN,HPQ,DG,TSCO,WDC,FOX,MOS,PLD,CPRT,NOW,FITB,ESS,BR,MLM,EBAY,HPE,APTV,PAYX,HD,DHI,FAST,KEY,CRM,MMC,HWM,AAL,AAL,RCL,DOV,FBHS,HIG,GL,DHI,DHI,FOX,FOX,KLAC,GL,DLTR,HPQ,KHC,RCL,AAL,LRCX,AES,AES,COF,CMI,PVH,CDAY,CAG,HRL,AEE,AMT,AMAT,NOW,NOW,ANSS,FOXA,ORLY,SYK,CNP,UNH,ORCL,MMC,EQR,MAA,DG,CAT,HLT,FDX,FDX,CCL,BRK-B,CTAS,BRK-B,REG,BR,WAT,WAT,FOXA,COF,FOXA,BRK-B,MET,JBHT,MTD,HLT,MAR,LYB,S&P500,ABMD,CCL,HWM,NOW,MTD,VNO,WFC,ACN,FITB,DG,COF,NOW,HPQ,ADBE,PLD,GL,RCL,LRCX,UAL,RCL,INTU,ATO,ATO,KHC,HRL,MAR,DXC,DXC,DXC,DXC,ATO,MCK,D,MU,RHI,SNPS,F,QRVO,FIS,HPE,BSX,ATO,ATO,DXC,CTSH,COST,MTB,RHI,CF,DXC,DXC,TXT,TXT,DVN,HD
5,EQR,ACN,CDW,ACN,S&P500,IPG,WFC,KEY,HIG,FITB,BAC,CME,FDX,NWSA,NWSA,AZO,MA,MRO,HAL,EOG,APA,APA,APA,S&P500,ZTS,DIS,MS,GOOG,PLD,PLD,PLD,AES,PLD,HAL,BAC,BAC,HIG,DOW,S&P500,COP,SLB,APA,COP,GIS,KO,MDLZ,HRL,HRL,MKC,CDW,NVDA,BR,AVGO,INTC,GOOG,GOOGL,WYNN,NVDA,KLAC,MCHP,DXC,NFLX,BAC,KEY,FITB,FITB,RF,MDLZ,CAG,GIS,MTB,FITB,FITB,FITB,F,QRVO,CI,ATO,MTD,FBHS,DHI,FAST,LOW,DOV,ETSY,AMD,AMD,AMD,AMD,CPB,TT,MRO,MRO,INTU,MU,TER,ADBE,FAST,HD,BK,POOL,MMC,BRO,MDT,CINF,ACN,QCOM,AVGO,APTV,MU,MU,MCHP,MCHP,MOS,AEP,CARR,MTD,CTSH,CVX,SLB,WYNN,GS,PRU,GS,MET,BAC,DLTR,QRVO,CSX,ORLY,SNPS,CF,ACN,INTU,NFLX,CFG,AVB,MLM,BR,MOS,FIS,CDAY,BR,DHI,ALLE,BK,FITB,CDW,EMR,NCLH,CCL,CCL,AAL,HD,APD,PRU,EMN,FAST,FAST,FIS,SWKS,TXN,KEY,COST,AIG,GIS,ABMD,CCL,DXC,CNP,CNP,JBHT,TT,CDAY,PVH,KO,CAG,SWKS,UNP,MU,NFLX,NFLX,MPWR,FOX,AEP,BLK,BSX,CTAS,ACN,CDW,PLD,PLD,SNPS,DLTR,SNPS,ATO,JBHT,BLK,AMZN,AMZN,CTAS,BR,MLM,MTD,FFIV,FOX,SYF,COST,BAC,CNP,FDX,ATO,NWSA,HLT,HIG,AMZN,DAL,ALK,NCLH,NFLX,TT,CME,L,S&P500,S&P500,FB,TT,NFLX,CME,NXPI,ACN,LUV,ALK,NXPI,NCLH,ALK,FITB,EBAY,EBAY,GIS,KO,PTC,KLAC,WYNN,FOX,APTV,AEE,VNO,ETR,AMD,PEAK,PTC,NWSA,LNT,FISV,FIS,BLK,SYF,SYF,APTV,COST,PCAR,CFG,FFIV,WDC,NVDA,APTV,QCOM,RJF,COP,DHI
6,SYK,AAPL,ORCL,BR,CTAS,TFC,RF,MS,BAC,GS,PH,CTSH,NWSA,FOX,LNT,ORLY,CI,CVX,XOM,HES,PSX,HES,PSX,ACN,PYPL,NOW,PFG,GOOGL,ARE,ARE,ARE,ZBH,ARE,SLB,ECL,ECL,LYB,ECL,CTAS,SLB,XOM,HES,PSX,KMB,MKC,MKC,MDLZ,MKC,MDLZ,AAPL,LRCX,S&P500,INTC,AVGO,QCOM,INTC,LRCX,TECH,LKQ,ADBE,TER,CPRT,PRU,MS,MET,MS,MS,MKC,HRL,CAG,WFC,HBAN,HBAN,HBAN,FISV,SWKS,ATO,MCK,WAT,GWW,GWW,LOW,FAST,ETSY,GWW,ADI,NSC,ADI,KEYS,HRL,F,PSX,XOM,FITB,LRCX,LRCX,TER,ETSY,GWW,HD,STT,PRU,SYK,ARE,SYK,ECL,MU,LRCX,MU,AVGO,TER,ADBE,TXN,UAA,SNA,FOX,FOX,EBAY,HAL,CVX,LRCX,MS,IPG,HBAN,MTB,MET,CF,HPQ,COST,NWSA,MOS,CBOE,INTU,NFLX,CDAY,TFC,EQR,VMC,VMC,CF,V,MU,CTAS,PHM,PHM,HD,IPG,BR,BRO,RCL,HWM,RCL,ABMD,FAST,OTIS,EMN,WRB,POOL,POOL,CCI,CCI,ADI,MS,WDC,ORLY,CAG,LUV,RCL,NXPI,ARE,ARE,FDX,UNP,NCLH,NCLH,GIS,MKC,NSC,QRVO,CDAY,CDAY,CDAY,CDAY,AEE,AZO,CNP,ARE,CINF,MMC,ACN,ARE,ARE,SNA,AIG,PTC,LNT,MCK,HBAN,CTAS,BRK-B,AMZN,CBRE,VMC,JBHT,MTD,SYF,CAT,ULTA,MET,WFC,ATO,CARR,PEAK,CI,BAC,AMAT,AAL,UAL,CCL,CDAY,PEAK,A,PRU,NDSN,KEY,AEE,WAT,CDAY,MCK,DIS,INTU,UAL,UAL,MU,AXP,UAL,NOW,HPQ,SWKS,CAG,GIS,FB,CPRT,APTV,MPWR,MPWR,MTD,D,PCAR,CDAY,MAR,CBOE,GM,ORLY,SYF,VNO,CNP,PEAK,LNT,MPWR,ORLY,CMI,FTV,WAT,MOS,KEYS,KEYS,AAPL,CBRE,MRO,PHM
7,AVB,ORCL,AAPL,ORCL,NDSN,HBAN,FITB,PFG,MET,PFG,BRK-B,MCK,NWS,EBAY,ETR,HRL,ETR,XOM,SLB,CVX,HES,EOG,HES,CTAS,FDS,SIVB,MTB,ADBE,NDAQ,SYK,NDAQ,PLD,SYK,XOM,HIG,HIG,WFC,DD,NDSN,VLO,VLO,DVN,HES,TGT,TGT,KMB,BF-B,CPB,CPB,RJF,TER,EMR,ADI,MCHP,TXT,ADI,LVS,AMAT,MPWR,TER,PYPL,APTV,HIG,DD,BAC,HBAN,OMC,KMB,SJM,HRL,RF,CFG,IPG,IPG,SWKS,HPE,WDC,CMI,FOXA,DOV,ETSY,ETSY,ETSY,IEX,IEX,LRCX,CTSH,LRCX,APTV,PEP,CPB,COP,COP,FRT,AVGO,KEYS,MU,GWW,ETSY,GWW,GWW,EMN,BAC,AJG,CNP,AJG,TER,TER,NXPI,MCHP,QCOM,MU,NXPI,COST,D,MTD,A,UA,MRO,HAL,LVS,JPM,PH,AAPL,BAC,MTB,SWKS,DLTR,WAT,TSCO,CF,AEP,ORCL,ADI,ADI,CMA,SYK,CAT,APH,HPQ,SBAC,LRCX,NDAQ,NVR,PNR,GWW,JPM,AAPL,AAPL,CCL,RCL,HWM,LUV,LOW,NDSN,CMA,KEY,GWW,GWW,SBAC,SBAC,ADBE,GS,WAT,DG,HRL,AAL,HWM,BWA,PLD,PLD,UNP,CI,DXC,DXC,MKC,PG,CSX,CME,LRCX,ADI,ADI,NOW,SEDG,AAP,APD,PLD,L,PAYX,PAYX,SYK,SYK,JBHT,UAA,NWS,HPQ,FOXA,MS,UNH,UNH,UNH,FITB,APH,FFIV,DLTR,JBHT,ULTA,A,WFC,HIG,LNT,DG,NSC,CSX,ECL,AMP,LUV,DAL,RCL,ADI,ULTA,CMI,JPM,BR,CMA,HPE,DG,PAYC,CI,KEY,ORCL,L,DAL,AVGO,CCL,DAL,FRT,MOS,CARR,HRL,MKC,NWS,NFLX,FOX,APTV,KEYS,LNT,ETR,MOS,LRCX,ETR,HLT,ORLY,AZO,COF,FISV,DD,CAT,FDX,KEYS,AAP,ULTA,KEY,FIS,MA,KLAC,AMAT,LNC,CDW,CTRA,PNR
8,NDAQ,INTU,VMC,APH,BR,WFC,HIG,FITB,MTB,JPM,HIG,CBOE,CBOE,FOXA,TT,CAG,D,PXD,CVX,PXD,PXD,PSX,DVN,NDAQ,CPRT,EMR,GS,AVGO,SYK,NDAQ,SYK,AJG,NDAQ,CVX,JPM,WFC,MET,PAYX,OTIS,APA,APA,EOG,EOG,MKC,KMB,TGT,PEP,KMB,PG,ACN,CDAY,OTIS,ADBE,LIN,AAPL,LRCX,TECH,NCLH,KEYS,TXN,KLAC,PYPL,JPM,APD,JPM,IPG,PNC,TGT,PG,MDLZ,PNC,IPG,CFG,MET,HPE,FISV,MCK,HPE,SWKS,POOL,POOL,GWW,GWW,DHI,LOW,DXC,UNP,DXC,DXC,GIS,PEP,SLB,SLB,RJF,KEYS,AVGO,DXC,LOW,BK,ETSY,HD,AJG,AXP,BSX,BRK-B,RJF,TXT,KEYS,AVGO,NXPI,LRCX,NXPI,MU,CCI,COST,EBAY,DG,MOS,APA,PSX,TECH,PFG,KEY,PH,HIG,HIG,RHI,RHI,V,CSX,TSCO,SNPS,UDR,TER,PAYC,JPM,NDAQ,VNO,CRM,CTSH,SJM,PWR,UNH,LEN,NVR,ETSY,HBAN,INTC,ACN,ABMD,ABMD,ABMD,HWM,ETSY,DD,WRB,CMA,ETSY,ETSY,FISV,EQIX,AMD,DD,HPQ,VNO,SJM,ISRG,ABMD,KLAC,BLK,BLK,SYF,CBOE,AMAT,AMAT,PG,MDLZ,UNP,NSC,TECH,PAYC,PAYC,DXC,DLTR,CBOE,ARE,BLK,AMZN,AJG,AON,NDAQ,NDAQ,CAT,SWKS,AIG,EBAY,AIG,AMD,SYK,OTIS,OTIS,INTU,CRM,DG,JBHT,RHI,CBOE,TSCO,PRU,BRK-B,DG,F,MCK,EBAY,WFC,BR,ISRG,AAL,ABMD,PAYC,VNO,CBOE,BRK-B,CTAS,RF,HPQ,HPQ,ADI,HPE,MU,UDR,ALK,AAL,APTV,RCL,AAL,NDAQ,CMI,MAR,SJM,PG,SWKS,TER,CMI,WYNN,WYNN,NSC,CF,CTSH,DXC,WAT,SEDG,ETR,FDX,V,V,APD,CDNS,CDNS,AMAT,ULTA,SNA,IPG,MA,FIS,BWA,MPWR,CDW,AAPL,CVX,NVR
9,FDS,CDW,WY,CBRE,OTIS,CFG,IPG,MET,WFC,MTB,WRB,NWS,CME,SNPS,GM,GM,V,PSX,PSX,PSX,EOG,PXD,VLO,NDSN,MLM,S&P500,IPG,LRCX,ZTS,FDS,ZTS,L,ZTS,PSX,WFC,KEY,MS,PH,PAYX,HAL,HAL,MPC,DVN,PG,CPB,PG,PG,TGT,TGT,CBRE,AMD,WY,NXPI,ADBE,MCHP,ADBE,CDAY,PVH,NXPI,ADI,ADSK,MPWR,MET,EMN,HBAN,JPM,CMA,CPB,MDLZ,SJM,CMA,MS,GS,CFG,CARR,PEAK,SWKS,LNT,MCK,ETSY,DOV,DHI,DHI,LOW,DHI,CARR,EBAY,TER,NXPI,UNP,UNP,CVX,CVX,NDAQ,ANSS,QCOM,LRCX,ALLE,LOW,STT,ETSY,CNP,AJG,BRK-B,CTAS,ORCL,LRCX,NVDA,AMAT,TXN,GOOGL,AMZN,ADI,ULTA,ULTA,CTSH,UAA,CF,PXD,XOM,CDAY,MTB,FITB,APH,CFG,CFG,FB,PTC,SYF,AAP,ORLY,WDC,AAPL,CDAY,SBUX,MTB,ZTS,APH,BWA,FIS,FISV,AMD,OTIS,PNR,LEN,STT,MET,ACN,CDW,AXP,ISRG,ISRG,ISRG,GWW,HD,MS,PRU,HD,HD,CTSH,CTSH,DXC,CMA,TSCO,PEAK,MDLZ,HWM,ISRG,ADI,UDR,UDR,CMI,COST,RCL,KLAC,PEP,TGT,ETR,CCI,NVDA,INTU,SBUX,PAYC,CME,DLTR,MS,UDR,CNP,OTIS,S&P500,ZTS,ZTS,FOXA,JBHT,SNA,FIS,CTSH,EMR,L,SYK,SYK,RJF,BWA,FDX,DG,A,COST,COF,HIG,JPM,FIS,GM,MAR,TT,JPM,ACN,HWM,LUV,AXP,SBUX,FFIV,RHI,HIG,OTIS,ORCL,TT,HPE,SBUX,ULTA,MS,AAPL,DAL,LUV,MCHP,ABMD,LUV,RJF,MAR,LNT,MDLZ,PEP,FOX,PYPL,MPWR,PCAR,AMAT,CSX,MOS,SNA,NVDA,GM,MAR,LNT,CDNS,CPB,AEP,ARE,RHI,CAT,NFLX,CMI,DG,SIVB,DLTR,DLTR,APTV,NVDA,EMR,ORCL,SLB,POOL
